id,name,alt_names,network,owners,country,categories,is_nsfw,launched,closed,replaced_by,website
3yoonTV.eg,3yoon TV,Oyoun TV;Sharm;قناة عيون مصر,,,EG,general,FALSE,,,,https://www.3yoontv.com/
4050Channel.th,4050 Channel,,,,TH,general,FALSE,,,,
40Plus.uk,40+,,,MG Global Entertainment (Europe) Limited,UK,xxx,TRUE,2019-04-24,,,https://www.televisionx.com/
45TV.hn,45 TV,,,,HN,news,FALSE,,,,https://45tvhn.com/
48Hours.us,48 Hours,,Pluto TV,,US,series,FALSE,,,,https://pluto.tv/en/live-tv/48-hours
48NewsUK.pk,48 News UK,,,,PK,news,FALSE,,,,
4Afghanistan.fr,4 Afghanistan,,,,FR,,FALSE,,,,
4BC.au,4BC,,,,AU,news,FALSE,,,,https://www.4bc.com.au/
4DmasNoticiasTV.py,4Dmas Noticias TV,4Dmás Noticias TV,,,PY,news,FALSE,,,,https://4dmasnoticias.com.py/
4E.gr,4E,,,RADIO TV STATION GREEK ORTHODOX ECCLESIASTICAL INFORMATIVE BROADCAST S.A.,GR,religious,FALSE,1993-12-16,,,https://tv4e.gr/
4Edu.mm,4 Edu,,,,MM,education,FALSE,,,,http://www.forevergroup.com.mm/
4everCinema.ua,4ever Cinema,,,Music Television of Ukraine,UA,movies,FALSE,,,,https://lanet.tv/channels/4ever_cinema/
4everDrama.ua,4ever Drama,,,Music Television of Ukraine,UA,series,FALSE,,,,https://lanet.tv/channels/4ever_drama/
4everMusic.ua,4ever Music,UA Music,,Music Television of Ukraine,UA,music,FALSE,2018-05-29,,,https://lanet.tv/channels/4ever_music/
4everTheater.ua,4ever Theater,,,Music Television of Ukraine,UA,entertainment,FALSE,,,,https://lanet.tv/channels/4ever_theater/
4EylulTV.tr,4 Eylul TV,4 Eylül TV,,,TR,general,FALSE,,,,
4FunDance.pl,4 Fun Dance,,,,PL,music,FALSE,2004-02-14,,,https://4fun.tv/dance
4FunKids.pl,4 Fun Kids,,,,PL,kids,FALSE,2004-02-14,,,https://4fun.tv/kids
4FunTV.pl,4 Fun TV,,,,PL,music,FALSE,2004-02-14,,,https://4fun.tv/
4KHERiTAGE.us,4K HERiTAGE,,,,US,documentary,FALSE,,,,https://4kheritage.tv/
4KidsTV.dz,4Kids TV,,,,DZ,kids,FALSE,,,,https://4kids-tv.com/
4KUniverse.us,4KUniverse,,,Matthew Mancinelli,US,general,FALSE,2016-10-01,,,https://4kuniversenow.com/
4Kurd.fr,4Kurd,,,Persiana Media Group,FR,music,FALSE,,,,https://4kurd.persiana.live/
4Music.fr,4 Music,,,Persiana Media Group,FR,music,FALSE,,,,https://4music.persiana.live/
4Music.uk,4Music,,Box Plus,HM Government,UK,music,FALSE,2008-08-15,2024-07-01,,https://www.boxplus.com/
4Plus.ch,4+,,,,CH,movies,FALSE,,,,https://www.oneplus.ch/
4seven.uk,4seven,,,HM Government,UK,entertainment,FALSE,2012-07-04,,,https://www.channel4.com/
4SightNews.in,4 Sight News,,,4Sight Broadcasting Pvt Ltd,IN,news,FALSE,,,,
4Sports.fr,4 Sports,,,Persiana Media Group,FR,sports,FALSE,,,,https://persianagroup.tv/
4SyteTV.gh,4Syte TV,,,,GH,music,FALSE,,,,
4TCI.tc,4TCI,,,,TC,general,FALSE,,,,
4Turk.fr,4 Turk,,,Persiana Media Group,FR,entertainment,FALSE,,,,https://4turk.persiana.live/
4TVNews.in,4TV News,,,Fame Media Pvt. Ltd,IN,news,FALSE,2014-04-02,,,http://www.4tvhyd.com/
4UTV.tr,4U TV,۴یو تی‌وی,,,TR,entertainment,FALSE,,,,https://4utv.tv/en/
504TV.hn,504 TV,,,,HN,entertainment,FALSE,,,,https://504tvhn.com/
50Canale.it,50 Canale,,,Rossi Costruttori;Gruppo Pucci;Forti Holding S.p.A.,IT,general,FALSE,1983-01-01,,,https://50canale.tv/
51RadioTV.it,51 Radio TV,,,,IT,music,FALSE,,,,https://www.51news.it/index.php
54UnityTV.th,54 Unity TV,ช่อง 54,,D One Solution,TH,general,FALSE,,,,https://artv.watch/hy/TH/54UnityTV.th
555.ru,555,Телерадиокомания 555,,,RU,general,FALSE,,,,https://trk555.tv/
5AABTV.ca,5AAB TV,,,,CA,entertainment,FALSE,,,,http://www.5aabtv.ca/
5Action.uk,5Action,Paramount Network,,Paramount Networks UK & Australia,UK,entertainment,FALSE,2022-01-19,,,http://www.channel5.com/channels/5action
5BuildingBritain.us,5 Building Britain,,Pluto TV,,US,series,FALSE,,,,https://pluto.tv/en/live-tv/5-building-britain-gb
